"OIL_DIST FILE"
"Oil_lab_num","Fractn_distlld_vol","Distlltn_temp (C)"
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"0492-52134-2021-3","",""
"04OF104390A","0","67.3"
"04OF104390A",".05","90.6"
"04OF104390A",".1","107.7"
"04OF104390A",".15","119.9"
"04OF104390A",".2","132"
"04OF104390A",".25","142.1"
"04OF104390A",".3","155.2"
"04OF104390A",".35","169.3"
"04OF104390A",".4","188.5"
"04OF104390A",".45","206.7"
"04OF104390A",".5","224.9"
"04OF104390A",".55","250.1"
"04OF104390A",".6","273.4"
"04OF104390A",".65","295.6"
"04OF104390A",".7","320.8"
"04OF104390A",".75","351.1"
"04OF104390B","0","58.3"
"04OF104390B",".05","89.6"
"04OF104390B",".1","102.7"
"04OF104390B",".15","113.8"
"04OF104390B",".2","120.9"
"04OF104390B",".25","124.9"
"04OF104390B",".3","136"
"04OF104390B",".35","146.1"
"04OF104390B",".4","156.2"
"04OF104390B",".45","169.3"
"04OF104390B",".5","186.5"
"04OF104390B",".55","206.7"
"04OF104390B",".6","233"
"04OF104390B",".65","261.2"
"04OF104390B",".7","291.5"
"04OF104390B",".75","324.9"
"04OF104390C","0","85.5"
"04OF104390C",".05","107.7"
"04OF104390C",".1","120.9"
"04OF104390C",".15","134"
"04OF104390C",".2","144.1"
"04OF104390C",".25","154.2"
"04OF104390C",".3","164.3"
"04OF104390C",".35","179.4"
"04OF104390C",".4","198.6"
"04OF104390C",".45","219.8"
"04OF104390C",".5","242.1"
"04OF104390C",".55","264.3"
"04OF104390C",".6","287.5"
"04OF104390C",".65","307.7"
"04OF104390C",".7","331.9"
"04OF75860A","0",""
"04OF75860A",".05","86.2"
"04OF75860A",".1","104.4"
"04OF75860A",".15","114.5"
"04OF75860A",".2","124.6"
"04OF75860A",".25","134.7"
"04OF75860A",".3","144.9"
"04OF75860A",".35","155"
"04OF75860A",".4","170.2"
"04OF75860A",".45","185.3"
"04OF75860A",".5","202.5"
"04OF75860A",".55","225.8"
"04OF75860A",".6","248.1"
"04OF75860A",".65","271.3"
"04OF75860A",".7","301.7"
"04OF75860A",".75","332"
"04OF75860A",".8","357.3"
"04OF98307A","0","63.7"
"04OF98307A",".05","95.1"
"04OF98307A",".1","116.3"
"04OF98307A",".15","129.5"
"04OF98307A",".2","136.5"
"04OF98307A",".25","154.7"
"04OF98307A",".3","165.9"
"04OF98307A",".35","183"
"04OF98307A",".4","201.3"
"04OF98307A",".45","222.5"
"04OF98307A",".5","241.7"
"04OF98307A",".55","267"
"04OF98307A",".6","289.2"
"04OF98307A",".65","312.5"
"04OF98307A",".7","338.8"
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"0518-52134-2020-3","",""
"05277",".05","10.5"
"05277",".1","13.3"
"05277",".15","15.1"
"05277",".2","17.3"
"05277",".25","19.8"
"05277",".3","21.4"
"05277",".35","23.1"
"05277",".4","25.3"
"05277",".45","27.1"
"05277",".5","28.7"
"05277",".55","30.5"
"05277",".6","32.6"
"05277",".65","34.5"
"05277",".7","36.7"
"05277",".75","37.9"
"05277",".8","38.9"
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0581-52134-2016-3","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-14","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-19","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
