"F_OPERATOR FILE"
"Fac Id Code","Oper Id","Fac Oper Eff Period","Fac Oper Term Period"
"00000210","00097","199211","200504"
"00000210","00237","201706",""
"00000210","00367","201111","201706"
"00000211","00237","201503",""
"00000211","00440","200011","201503"
"00000211","00911","197804","200011"
"00000212","00819","201911","202006"
"00000212","00905","198904","201911"
"00000212","02011","202006",""
"00000213","00237","201912",""
"00000213","00290","198904","201912"
"00000214","00047","201102","202202"
"00000214","00290","198904","200207"
"00000214","00682","200207","201102"
"00000214","00831","202202",""
"00000215","00233","198211","201007"
"00000215","00416","201809",""
"00000215","00826","201705","201809"
"00000215","08193","201007","201705"
"00000216","00237","199912","200301"
"00000216","00237","200507",""
"00000216","00260","200301","200507"
"00000217","00237","198201",""
"00000218","00013","199809","200207"
"00000218","00302","198904","199601"
"00000218","00639","200207","200211"
"00000218","00677","199601","199809"
"00000218","00691","200211","201212"
"00000218","00691","201212","201811"
"00000218","00691","201811",""
"00000218","00696","200211","200211"
"00000218","00706","201212","201212"
"00000219","00237","198409",""
"00000220","00237","201111",""
"00000221","00237","198204",""
"00000222","00237","198510",""
"00000223","00237","198607",""
"00000224","00237","200204",""
"00000224","00677","198607","200204"
"00000225","00237","200204",""
"00000225","00677","198607","200204"
"00000226","00237","199504",""
"00000226","09059","197705","199504"
"00000227","00262","199208","201012"
"00000227","00428","202111",""
"00000227","00606","201012","202111"
"00000228","00237","197805",""
"00000229","00005","198904","199211"
"00000229","00237","199211",""
"00000230","00005","198904","199004"
"00000230","00045","199004","199610"
"00000230","00428","202111",""
"00000230","00606","200907","202111"
"00000230","00664","199610","200907"
"00000231","00005","198904","199004"
"00000231","00045","199004","201108"
"00000231","00237","201108",""
"00000232","00237","199310",""
"00000233","00237","197805",""
"00000234","00237","200303",""
"00000235","00047","201102",""
"00000235","07014","197812","201102"
"00000236","00047","201102",""
"00000236","07014","197609","201102"
"00000237","00033","201007","201007"
"00000237","00117","200309","200908"
"00000237","00169","200908","201007"
"00000237","00237","202202",""
"00000237","00432","201007","201205"
"00000237","00850","198709","200309"
"00000237","00891","201205","202202"
"00000238","00398","198904","201108"
"00000238","02011","201108",""
"00000239","00047","201910",""
"00000239","00682","198904","201910"
"00000240","00493","198904","199408"
"00000240","00682","199408","200502"
"00000240","00794","200502","201704"
"00000240","02011","201704",""
"00000241","00117","198904","202001"
"00000241","00940","202001",""
"00000242","00114","199608","201011"
"00000242","00117","201011","202001"
"00000242","00237","202001",""
"00000242","00302","198904","199601"
"00000242","00677","199601","199608"
"00000243","00454","201103","201711"
"00000243","00551","198904","201103"
"00000243","01006","201711","201911"
"00000243","01006","201911",""
"00000244","00065","201611",""
"00000244","07969","198308","201110"
"00000244","08188","201110","201611"
"00000245","00237","199702",""
"00000245","00601","198904","199212"
"00000245","00716","199212","199702"
"00000246","00237","198104",""
"00000247","00237","201910",""
"00000247","00600","199110","201012"
"00000247","07037","201012","201910"
"00000248","00648","198104","200804"
"00000248","00648","200804","200912"
"00000248","00769","200912","201310"
"00000248","00988","201310","201712"
"00000248","01018","201712",""
"00000248","07576","200804","200804"
"00000249","00454","200402","200604"
"00000249","00639","201101","202002"
"00000249","00789","198007","200402"
"00000249","07230","200604","201101"
"00000249","11048","202002","202009"
"00000249","11075","202009",""
"00000250","00233","200507","201001"
"00000250","00237","201102",""
"00000250","00665","199010","200507"
"00000250","08193","201001","201102"
"00000251","00237","197901",""
"00000252","00648","199404","200804"
"00000252","00648","200804","200912"
"00000252","00691","201212","201811"
"00000252","00691","201811",""
"00000252","00706","201212","201212"
"00000252","00769","200912","201010"
"00000252","07006","201010","201212"
"00000252","07576","200804","200804"
"00000253","00648","198904","202003"
"00000253","01018","202003",""
"00000254","00648","196512","200102"
"00000254","00710","200801","201202"
"00000254","00819","201706","202006"
"00000254","07008","200102","200801"
"00000254","08203","201202","201706"
"00000254","11034","202006",""
"00000255","00648","198904",""
"00000256","00648","198601","200804"
"00000256","00648","200804","200912"
"00000256","00691","201212","201811"
"00000256","00691","201811",""
"00000256","00706","201212","201212"
"00000256","00769","200912","201010"
"00000256","07006","201010","201212"
"00000256","07576","200804","200804"
"00000257","00648","196307","200804"
"00000257","00648","200804","200912"
"00000257","00691","201212","201811"
"00000257","00691","201811",""
"00000257","00706","201212","201212"
"00000257","00769","200912","201102"
"00000257","07006","201102","201212"
"00000257","07576","200804","200804"
"00000258","00648","198904","200912"
"00000258","00691","201009","201811"
"00000258","00691","201811",""
"00000258","00769","200912","201009"
"00000259","00648","198904","200912"
"00000259","00769","200912","201310"
"00000259","00988","201310","201712"
"00000259","01018","201712",""
"00000260","00208","201612",""
"00000260","00648","198904","199903"
"00000260","00727","199903","201002"
"00000260","00794","201002","201612"
"00000261","00099","199606","200402"
"00000261","00237","200501",""
"00000261","00260","200402","200501"
"00000261","00648","198904","199606"
"00000262","00208","201612",""
"00000262","00727","200002","200911"
"00000262","00794","200911","201612"
"00000263","00648","196705","200804"
