Well Authorization Number,Completion Event Sequence,UWI,Zone Prod Period,Area Code,Formtn Code,Well Area Name,Oper Abbreviation,Production Days,Gas Production (e3m3),Oil Production (m3),Condensate Production (m3),Water Production (m3),Marketable Gas Volume (e3m3),Ethane Sales Volume (m3),Propane Sales Volume (m3),Butane Sales Volume (m3),Pentane Sales Volume (m3)
30801,00,100080308220W600,202202,9021,5000,WILDER,CREW,28,2713.8,0,0,283.8,,,,,
17333,00,200B008F094H1500,202202,5160,4990,GUTAH,CNRL,28,14.1,0,0,.4,,,,,
32160,00,100122607715W600,202202,9021,5000,SWANLAKE,OVV,27.5,1855.3,0,81.1,53.5,,,,,
23557,00,200A089F094H0600,202202,5850,4100,MARTIN,CNRL,28,80.9,0,1.1,1.4,,,,,
25440,00,200A039G093P0900,202202,9021,5000,SWAN,OVV,28,447.3,0,0,2.7,,,,,
19410,00,200D037H093P0900,202202,9021,5000,SWAN,OVV,28,11.4,0,0,.4,,,,,
16957,00,200B026B094O1100,202202,5852,2805,MAXHAMISH,BENCH CREEK RES,28,30.5,0,1.2,.7,,,,,
15185,00,200C076J094I1300,202202,4470,8200,GUNNELL,NTE CANADA,28,32.4,0,1.9,1.1,,,,,
11079,00,200C054B094P1500,202202,4700,8200,HELMET,CNRL,28,226.6,0,1.3,6.7,,,,,
30198,00,102103607918W600,202202,9021,5000,SUNRISE,OVV,27.9,859.2,0,46.8,61.8,,,,,
30035,00,102150208116W600,202202,9021,5000,PARKLAND,ARCRES,13,197.6,0,10.9,6,,,,,
28615,02,203C002F094G1002,202202,9022,5000,GREEN,PETRONAS,28,454.6,0,0,22.9,,,,,
22146,00,202B055B094I1200,202202,3455,8200,ELLEH,NTE CANADA,28,40.7,0,1.9,2.3,,,,,
30455,00,100053407715W600,202202,9021,5000,DAWSON,OVV,28,2398.4,0,29.1,15.9,,,,,
30136,02,200C088C094B1602,202202,9022,5000,DAIBER,CNRL,28,776.7,0,0,22.2,,,,,
40838,00,100161408015W600,202202,9021,5000,DOE,ARCRES,27.9,2453.7,0,0,229,,,,,
41219,00,200D074K094A1300,202202,9022,5000,BIRCH,CNRL,26.8,3401,0,856.4,91.4,,,,,
23897,00,100150208116W600,202202,9021,5000,PARKLAND,ARCRES,18,129.7,0,0,.9,,,,,
36430,00,100133408017W600,202202,9021,5000,TOWERLAKE,OVV,27.8,196.5,0,93.4,73.9,,,,,
27034,00,102112707717W600,202202,9021,5000,SUNDOWN,MURPHY,28,352.7,0,0,3,,,,,
23431,00,200D036G094I1000,202202,3450,8150,EKWAN,PEA,28,101,0,4.7,4.2,,,,,
02781,00,200A003E094A1600,202204,6800,4800,PEEJAY,CNRL,30,5,104.9,0,1658,,,,,
27161,00,206A079L094A0400,202202,9022,5000,ALTARES,CNRL,28,377.4,0,0,69,,,,,
17833,00,200D052F094P0700,202202,4700,8200,HELMET,CNRL,26,17.7,0,.5,.2,,,,,
35425,00,105140907817W600,202202,9021,5000,SUNDOWN,MURPHY,27.9,4351.6,0,0,144.5,,,,,
29664,00,200B021D094G1000,202202,9022,5000,POCKETKNIFE,PETRONAS,26,238.8,0,0,12,,,,,
31907,00,200D050B094H0400,202202,9022,5000,NIG,TOURMALINE,27.8,1245.6,0,0,70.3,,,,,
34493,00,100092107917W600,202202,9021,5000,SUNRISE,OVV,28,3908.3,0,43.7,287.7,,,,,
26596,00,200B092L094O0200,202202,9045,8295,KIWIGANA,OVV,15.8,739.4,0,0,61.9,,,,,
36434,00,100163408017W600,202202,9021,5000,TOWERLAKE,OVV,25.7,1371.1,0,324.1,568.7,,,,,
07006,00,200D073A094H1600,202202,7660,4990,RING,CNRL,28,2.4,0,0,0,,,,,
28412,00,200A055G094G0200,202202,9022,5000,LILY,PETRONAS,17,234.4,0,0,15.4,,,,,
34505,00,103042107714W600,202202,9021,5000,SWAN LAKE,OVV,27.8,11019.1,0,1316.6,740.4,,,,,
22750,00,200A044J093P0100,202202,5170,4900,KELLY,OVV,28,300.8,0,0,1,,,,,
30968,00,103040908017W600,202202,9021,5000,SUNRISE,OVV,20.1,414.7,0,64.1,73.2,,,,,
34507,00,100142007714W600,202202,9021,5000,SWAN LAKE,OVV,27.2,13638.9,0,1820.7,1166.5,,,,,
28713,00,202C067D094H0300,202202,9022,5000,NIG,CNRL,28,578.8,0,80.4,11.5,,,,,
26901,00,102011508018W600,202202,9021,5000,SUNSET,SHELL,28,326.6,0,0,2.9,,,,,
30550,00,102011808015W600,202202,9021,5000,SUNRISE,TOURMALINE,6,45.4,0,0,9.6,,,,,
28158,00,204B006H093P0900,202202,9021,5000,SWAN,OVV,28,323.2,0,6.9,3.2,,,,,
22672,00,202D079H094A1500,202202,6800,2700,PEEJAY,CNRL,28,18.3,0,0,0,,,,,
25291,00,202D026H093P0900,202202,9021,5000,SWAN,OVV,28,1422.5,0,0,41.5,,,,,
24642,00,200D014C093P0800,202202,5170,4900,NOEL,CNRL,28,591.2,0,0,4.9,,,,,
34848,00,102122008017W600,202202,9021,5000,SUNRISE,OVV,28,556,0,38,105,,,,,
16547,00,200D053K094H0100,202202,3430,2400,DRAKE,CNRL,28,52.1,0,0,15.3,,,,,
19483,00,200C037G094I1300,202202,4470,8200,GUNNELL,NTE CANADA,28,25.3,0,.7,.8,,,,,
28201,00,202D010G094G0800,202202,9022,5000,BUBBLES,PETRONAS,11.7,155,0,2.4,9.1,,,,,
26290,00,200A057A093P0900,202202,9021,5000,SWAN,MURPHY,22.2,250.1,0,0,3.5,,,,,
15673,00,200D059K094H1000,202202,4485,5000,GUTAH,CNRL,28,36.1,0,0,.9,,,,,
27033,00,102152707717W600,202202,9021,5000,SUNDOWN,MURPHY,28,323.7,0,0,3.2,,,,,
