"DST_RATE FILE"
"Wa_num","Drillng_event_seq","Dst_num","Flowing_fluid_type","Init_fluid_rate","Avg_fluid_rate","Final_fluid_rate"
"00259","00","002","GAS","4.93","0","11.098"
"00259","00","003","GAS","12.425","0","14.059"
"00259","00","005","GAS","2.479","0","1.747"
"00259","00","007","GAS","10.34","0","10.196"
"00261","00","006","GAS","14.566","0","25.836"
"00262","00","004","GAS","140.87","0","197.218"
"00262","00","005","GAS","64.8","0","160.592"
"00263","00","004","GAS","22.539","0","22.539"
"00263","00","005","GAS","4.226","0","6.198"
"00264","00","001","GAS","27.132","0","100.44"
"00264","00","002","GAS","117.905","0","122.36"
"00264","00","003","GAS","4.93","0","7.748"
"00267","00","002","GAS","227.587","0","239.617"
"00268","00","002","GAS","10.819","0","85.593"
"00269","00","001","GAS","4.561","0","0"
"00269","00","003","GAS","10.196","0","0"
"00269","00","005","GAS","0","0","7.889"
"00269","02","001","GAS",".902","0","5.494"
"00270","00","001","GAS","179.271","0","160.392"
"00270","00","003","GAS","4.226","0","4.449"
"00270","00","006","GAS","64.659","0","130.586"
"00270","00","007","GAS","91.65","0","130.586"
"00270","00","007","OIL","0","19.078","0"
"00270","00","008","GAS","28.174","0","140.87"
"00270","00","009","GAS","42.261","0","91.929"
"00270","00","011","GAS","12.368","0","30.822"
"00270","00","012","GAS","48.685","0","51.558"
"00270","00","013","GAS","52.235","0","64.659"
"00270","00","014","GAS","7.604","0","3.494"
"00271","00","001","GAS","1.409","0","1.409"
"00271","00","002","GAS","1.409","0","1.409"
"00271","00","003","GAS","2.817","0","1.409"
"00271","00","003","OIL","38.157","0","0"
"00271","00","011","GAS",".563","0","1.409"
"00272","00","003","GAS","0","0","1.127"
"00276","00","006","GAS","41.979","0","266.244"
"00278","00","003","GAS","98.609","0","0"
"00278","00","005","GAS","2.592","0","0"
"00278","00","006","GAS","1.916","0","0"
"00279","00","001","GAS","11.664","0","0"
"00279","00","003","GAS","0","0","7.269"
"00280","00","003","GAS","2.479","0","2.029"
"00281","00","004","GAS","2.11","0","0"
"00283","00","005","GAS","0","0","1.296"
"00283","00","006","GAS","0","0","12.904"
"00283","00","007","GAS","0","0","33.527"
"00283","00","009","GAS","0","0","7.748"
"00287","00","001","GAS","1.747","0","2.479"
"00287","00","003","GAS","33.527","0","58.123"
"00289","00","002","GAS","27.611","0","21.412"
"00289","00","008","GAS","179.412","0","146.505"
"00290","00","006","GAS","12.96","0","40.852"
"00290","00","008","GAS","27.329","0","71.277"
"00293","00","003","GAS","0","0","100.159"
"00293","00","004","GAS","0","0","92.974"
"00293","00","005","GAS","0","1.24","0"
"00294","00","002","GAS","0","56.348","0"
"00295","00","001","GAS","144.392","0","144.392"
"00299","00","004","GAS","17.665","17.665","17.665"
"00299","00","005","GAS","7.889","7.889","7.889"
"00302","00","001","GAS","3.494","0","3.494"
"00302","00","006","GAS","46.487","0","46.487"
"00302","00","007","GAS","46.543","0","46.543"
"00302","00","008","GAS","17.75","0","17.75"
"00302","00","009","GAS","15.496","0","10.058"
"00302","00","010","GAS","72.407","0","72.407"
"00303","00","001","GAS","7.748","0","7.748"
"00303","00","002","GAS","1.24","0","1.24"
"00304","00","011","GAS","12.368","0","47.417"
"00304","00","012","GAS","20.68","0","72.971"
"00304","00","013","GAS","49.981","0","89.312"
"00304","00","018","GAS","141.152","0","54.376"
"00304","00","019","GAS","104.526","0","30.991"
"00304","00","022","GAS","56.348","0","51.277"
"00308","00","002","GAS","84.522","71.277","71.277"
"00308","00","006","GAS","5.519","0","0"
"00314","00","002","GAS","45.642","0","48.178"
"00314","00","004","GAS","3.913","3.913","3.913"
"00314","00","005","GAS","102.553","0","149.322"
"00314","00","006","GAS","129.6","0","204.261"
"00315","00","001","GAS","8.34","0","10.988"
"00315","00","002","GAS","3.913","0","2.141"
"00315","00","006","GAS","106.216","0","115.232"
"00319","00","003","GAS","1.24","0","0"
"00319","00","005","GAS","36.626","0","0"
"00319","00","006","GAS","46.205","0","0"
"00319","00","007","GAS","28.737","0","47.332"
"00319","00","008","GAS","55.785","0","62.628"
"00319","00","009","GAS","17.409","0","38.035"
"00320","00","001","GAS","43.498","0","41.134"
"00320","00","002","GAS","58.965","0","37.021"
"00322","00","001","GAS","0","0","109.879"
"00322","00","002","GAS","0","0","38.035"
"00322","00","003","GAS","0","0","309.914"
"00327","00","001","","","",""
"00327","00","002","","","",""
"00327","00","003","GAS","0","0","0"
"00327","00","004","GAS","0","0","0"
"00327","00","005","","","",""
"00327","00","006","GAS","","",""
"00329","00","005","GAS","0","1.69","0"
"00331","00","005","GAS","49.023","0","66.913"
"00333","00","004","GAS","2.141","0","0"
"00336","00","003","GAS","1.493","0","0"
"00337","00","003","GAS","0","0","7.773"
"00341","00","002","OIL","0","31.797","0"
"00343","00","003","GAS","61.701","0","0"
"00344","00","002","GAS","33.583","83.958","100.75"
"00344","00","003","GAS","59.588","0","152.703"
"00351","00","002","GAS","5.353","0","0"
"00351","00","003","GAS","38.314","0","46.628"
"00351","00","004","GAS","58.768","0","64.29"
"00351","00","005","GAS","40.007","0","49.304"
"00351","00","006","GAS","33.862","0","47.896"
"00351","00","007","GAS","107.343","0","114.95"
"00352","00","002","GAS","203.473","0","191.442"
"00352","00","003","GAS","0","79.253","0"
"00352","00","004","GAS","0","0","160.392"
"00352","00","007","GAS","0","17.073","0"
"00352","00","008","GAS","0","30.146","0"
"00362","00","002","GAS","2.167","0","0"
"00367","00","001","GAS","57.898","0","0"
"00367","00","002","GAS","24.849","0","0"
"00368","02","006","GAS","1.211","0",".62"
"00368","02","007","GAS","1.434","0","1.324"
"00369","00","003","GAS","4.449","0","0"
"00374","00","005","GAS","2.367","0","0"
"00375","00","003","GAS","2.279","0","0"
"00375","00","004","GAS",".986","0","0"
"00376","00","002","GAS","2.479","0","0"
"00381","00","002","GAS","4.198","0","0"
"00383","00","001","GAS","102.835","0","0"
"00384","00","001","GAS","197.781","0","0"
"00385","00","002","GAS","2.11","0","0"
"00385","00","004","GAS","2.11","0","0"
"00385","00","008","GAS","5.381","0","7.773"
"00385","00","011","GAS","33.809","0","5.635"
"00385","00","012","GAS","14.425","18.792","18.792"
"00385","00","013","GAS","176.369","0","0"
"00385","00","014","GAS","0","0","90.439"
"00385","00","015","GAS","40.289","0","28.481"
"00385","00","016","GAS","8.565","0","4.111"
"00385","00","017","GAS","106.498","0","0"
"00385","00","018","GAS","0","0","23.244"
"00386","00","001","GAS","18.254","0","0"
"00386","00","003","GAS","56.348","0","87.903"
"00386","00","004","GAS","28.174","0","67.618"
"00387","00","002","GAS","0","0","4.226"
"00388","00","001","GAS","1.747","0","0"
"00397","00","005","GAS","0","0","0"
"00397","00","006","GAS","0","0","0"
"00397","00","008","GAS","0","0","0"
"00397","00","009","GAS","0","0","0"
"00400","00","001","GAS","70.435","","197.218"
"00400","00","004","GAS","0","0","0"
"00400","00","006","GAS","0","0","1126.96"
"00400","00","010","GAS","0","0","0"
"00412","00","005","GAS","0","3.381","0"
"00412","00","009","GAS","0","188.766","0"
"00412","00","010","GAS","0","1.747","0"
"00415","00","003","GAS","1.378","0","2.817"
"00415","00","004","GAS","1.434","0","1.378"
"00415","00","006","GAS","17.242","0","0"
"00416","00","004","GAS","0","93.256","0"
"00419","00","002","GAS","0","9.157","0"
"00419","00","003","GAS","0","9.157","0"
"00421","00","005","GAS","9.126","0","5.519"
"00430","00","003","GAS","1.445","0",".986"
"00442","00","008","GAS",".986","0","0"
"00442","00","014","GAS","112.696","0","14.087"
"00445","00","001","GAS","0","3.913","0"
"00448","00","003","GAS","0","2.817","0"
"00448","00","004","GAS","0","1.69","0"
"00451","00","001","GAS","156.898","0","0"
"00451","00","004","GAS","0","0","7.044"
"00453","00","002","GAS","1.803","0","43.554"
"00453","00","006","GAS","5.209","0","47.079"
"00454","00","005","GAS",".451","0",".702"
"00455","00","006","GAS","27.188","0","27.47"
"00456","00","001","GAS","92.974","0","123.966"
"00458","00","001","GAS","30.146","0","0"
"00458","00","002","GAS","45.642","0","0"
"00460","00","004","GAS","0","0","7.748"
"00461","00","002","GAS","1.24","0","0"
"00461","00","003","GAS","2.141","0","1.24"
"00461","00","005","GAS","0","0","13.58"
"00461","00","007","GAS","2.505","0","0"
"00461","00","008","GAS","2.479","0","4.561"
"00462","00","001","GAS","48.685","0","0"
"00462","00","002","GAS","8.311","0","18.905"
"00462","00","003","GAS","11.439","0","47.332"
"00462","00","004","GAS","30.991","0","53.277"
"00462","00","007","GAS","1.24","0","0"
"00466","00","002","GAS","52.235","0","79.253"
"00467","00","001","GAS","0","7.213","0"
"00467","00","002","GAS","0","6.987","0"
"00468","00","003","GAS","0","209.84","0"
"00468","00","004","GAS","84.522","0","0"
"00468","02","007","GAS","7.889","0","3.494"
"00468","02","008","GAS","5.578","0","5.071"
"00469","00","001","GAS","126.783","0","0"
"00471","00","004","GAS","5.353","0","0"
"00473","00","001","GAS","0","0","126.783"
"00475","00","001","GAS","79.732","0","0"
"00475","00","002","GAS","39.754","0","0"
"00478","00","001","GAS","30.991","0","0"
"00479","00","001","GAS","17.073","0","19.327"
"00479","00","002","GAS","12.368","0","3.043"
"00480","00","001","GAS","59.785","0","0"
"00483","00","001","GAS","11.157","0","18.254"
"00484","00","001","GAS","0","0","40.007"
"00484","00","002","GAS","0","0","35.217"
"00485","00","001","GAS","0","6.48","0"
"00485","00","002","GAS","0","28.174","0"
"00485","00","003","GAS","0","3.071","0"
"00485","00","004","GAS","0","3.071","0"
"00487","00","003","GAS","0","0","0"
"00487","00","004","","0","0","0"
"00487","00","005","","0","0","0"
"00489","00","001","GAS","0","15.777","0"
"00489","00","002","GAS","0","15.777","0"
"00489","00","003","GAS","0","17.75","0"
"00490","00","001","GAS","22.539","0",".042"
"00492","00","001","GAS","4.085","0","0"
"00492","00","004","GAS","1.747","0","0"
"00496","00","002","GAS","0","59.165","0"
"00496","00","003","GAS","20.736","0","15.496"
"00497","00","001","GAS","42.261","0","0"
"00497","00","002","GAS","54.376","0","0"
"00498","00","002","GAS","19.722","0","27.47"
"00500","00","001","GAS","14.087","0","21.638"
"00503","00","001","GAS","239.479","0","0"
"00503","00","002","GAS","288.783","0","0"
"00503","00","003","GAS","301.743","0","0"
"00503","00","004","GAS","62.969","0","0"
"00505","00","004","GAS","233.844","0","176.369"
"00512","00","001","GAS",".902","0","0"
"00512","00","002","GAS","7.125","0","7.297"
"00516","00","001","GAS","7.325","6.029","4.561"
"00516","00","002","GAS","25.779","0","36.908"
"00516","00","003","GAS","31.555","0","51.615"
"00516","00","005","GAS","32.964","0","43.388"
"00516","00","006","GAS","1.747","0","0"
"00520","00","002","GAS","2.536","0","0"
"00533","00","003","GAS","0","71.562","0"
